Pais,Año,Brecha,Desempleo,GP Social,Ganancias,Propiedad,PIB,S. Min. Real,IPC
Brasil,2019,5.08823472171803,11.742878,29.65377,7.2482,1.5239,8844.572777,212.7485196,103.7330403
Brasil,2020,3.71515399553446,13.728461,34.747382,6.9199,1.2557,6965.09522,215.75,107.0645212
Brasil,2021,4.84906341364555,13.977408,31.2337154738461,7.8452,1.5807,7700.518532,218.53,112.1968
Chile,1995,4.53732832868302,5.678790225,18.136755,4.6592,1.1186,5183.740608,75.1,44.07461549
Chile,1996,4.49694458119058,5.7146179,19.056198,4.935,1.2518,5374.924633,78.2,47.31984682
Chile,1997,4.52987806560584,7.90050695,19.116261,4.5441,1.3111,5787.20868,81,50.22243437
Chile,1998,4.56366764539172,10.086396,20.162994,4.0836,1.318,5470.602714,85.7,52.78974196
Chile,1999,4.34813000949982,10.2424525,21.879481,3.6105,1.411,4981.69189,93.4,54.54805
Chile,2000,4.15642755406363,10.398509,21.101103,4.3854,1.3181,5100.769926,100,56.6446968
Chile,2001,4.11568612151665,10.2349140333333,21.536221,4.4913,1.4166,4625.437885,103.8,58.66645933
Chile,2002,4.07606161481751,10.0713190666667,21.551902,4.6016,1.459,4480.56647,106.8,60.12676369
Chile,2003,4.03750872428676,9.9077241,20.658758,4.7467,1.4393,4853.6709,108.3,61.81652146
Chile,2004,3.8472177415161,9.0442415,19.191018,5.6868,1.297,6194.355305,111.3,62.46660131
Chile,2005,3.6766821099133,8.1807589,18.526185,7.536,1.3107,7589.193078,113.4,64.37545173
Chile,2006,3.52297724151109,7.3172763,17.142927,9.9537,1.1787,9419.255388,116.3,66.55918023
Chile,2007,3.45242301049936,8.28384086666667,17.705263,10.4022,1.1168,10477.00682,118.5,69.4928624
Chile,2008,3.38380147434292,9.25040543333333,20.337086,8.0914,1.1789,10966.4424,118.3,75.55007715
Chile,2009,3.31703429245467,10.21697,23.339122,5.4043,0.9416,10245.95195,124.7,76.67024052
Chile,2010,3.31550151399644,8.9723798,21.891512,7.4923,0.8063,12815.64301,127.7,77.75191181
Chile,2011,3.31399193215058,7.7277896,21.312598,8.4799,0.8436,14624.42528,129.8,80.34907292
Chile,2012,3.25210794399596,7.38309575,21.579888,8.3036,0.897,15415.35442,133.5,82.76478416
Chile,2013,3.19169478236341,7.0384019,21.54417,6.9231,0.8249,15838.2044,139.9,84.23369235
Chile,2014,3.16499908121313,7.24967145,22.217731,6.4967,0.8303,14665.6931,145.3,88.21553564
Chile,2015,3.13927846276583,7.460941,23.190592,7.4613,0.8957,13593.87783,149.148,92.0519122
Chile,2016,3.12274707380303,7.75071525,23.500761,6.7821,1.0257,13794.42375,156.5343943,95.53760677
Chile,2017,3.10622870512779,8.0404895,23.723773,6.9804,1.098,15059.58103,161.1936731,97.62268589
Chile,2018,3.1541793421474,9.756516,23.678497,7.6114,1.1013,15822.17398,165.0143516,100
Chile,2019,3.20292324978176,11.4725425,24.5202,7.2963,1.1454,14645.25873,171.7318788,102.5570348
Chile,2020,3.25248027740987,13.188569,27.326503,6.2257,1.0278,13198.20143,178.03,105.6803999
Chile,2021,2.94942027773817,9.45287519453848,24.2944935723077,8.467,1.0636,16239.76878,185.31,108.4313
Colombia,1995,4.97526106076427,12.8163788384416,11.077981,3.3637,0.3618,3046.411047,94.21601385,20.78924314
Colombia,1996,4.95239462931314,12.7098533229437,12.877239,3.2044,0.4308,3141.507765,93.23936665,25.11253038
Colombia,1997,4.92972171720692,12.6033278074459,13.583427,3.4941,0.4469,3388.488368,95.18992382,29.75124215
